N_Sta,Access_Category,Throughput_Mbps,Packet_Loss_Pct,Queue_Delay_us,Access_Delay_us,Retransmission_Ratio
2,VO,2.0000,0.0000,25.22,212.45,0.0013
2,VI,2.0000,0.0000,75.86,214.87,0.0064
2,BE,2.0000,0.0000,58.90,212.00,0.0000
2,BK,2.0000,0.0000,132.20,212.12,0.0002
4,VO,3.9998,0.0000,123.44,292.59,0.1238
4,VI,4.0000,0.0000,96.28,235.53,0.0361
4,BE,4.0001,0.0000,275.13,261.59,0.0424
4,BK,3.9999,0.0000,429.59,260.20,0.0404
6,VO,5.9996,0.0044,221.78,410.55,0.2644
6,VI,6.0001,0.0030,363.33,503.36,0.2803
6,BE,5.9990,0.0000,1215.27,1168.58,0.2906
6,BK,5.0890,11.4662,272019.10,4027.03,0.4120
8,VO,7.8037,2.4523,1197.44,2019.36,1.0287
8,VI,7.9905,0.1056,1990.56,3814.05,0.9314
8,BE,5.7591,23.5627,77445.62,33049.64,0.5205
8,BK,0.1820,97.6099,480066.60,3787.65,0.0538
10,VO,8.9049,10.9510,3501.14,3214.14,1.3152
10,VI,9.9849,0.1458,6872.06,8554.40,0.9335
10,BE,1.6372,81.4126,165630.00,23310.47,0.1819
10,BK,0.0138,99.8567,485397.10,1633.71,0.0189
12,VO,9.9037,17.4365,9340.42,3061.06,1.0515
12,VI,11.9221,0.4867,22438.11,12774.87,0.6195
12,BE,0.9467,89.9926,200393.40,16345.50,0.0830
12,BK,0.0082,99.9295,491808.60,463.37,0.0067
14,VO,11.0370,19.3492,19135.31,2622.89,0.7609
14,VI,13.5344,0.9458,42898.17,17843.40,0.4580
14,BE,0.6190,93.9871,233721.40,7597.76,0.0195
14,BK,0.0049,99.9626,491025.20,212.00,0.0000
16,VO,12.5796,18.2182,44605.94,2125.13,0.4842
16,VI,14.7705,3.3883,74860.75,28443.62,0.3894
16,BE,0.3596,96.8516,269124.60,11752.34,0.0163
16,BK,0.0024,99.9838,483441.10,212.00,0.0000
18,VO,13.7951,16.9816,89384.53,1718.01,0.3024
18,VI,15.0557,8.5469,108608.70,44481.39,0.4112
18,BE,0.4968,96.0122,281206.70,7587.47,0.0033
18,BK,0.0019,99.9882,448301.50,212.00,0.0000
20,VO,13.9246,17.2194,93011.06,1723.55,0.3050
20,VI,15.0988,9.5041,108289.87,42328.65,0.4030
20,BE,0.3460,97.3130,294648.50,13469.15,0.0004
20,BK,0.0011,99.9936,396782.50,169.60,0.0000
22,VO,14.3998,24.4662,160308.43,1308.19,0.1851
22,VI,15.1510,20.3050,144580.92,54013.35,0.4154
22,BE,0.4667,96.8938,282173.50,17360.67,0.0028
22,BK,0.0008,99.9953,248159.30,106.00,0.0000
24,VO,14.3372,21.2067,133556.51,1446.66,0.2213
24,VI,14.9490,17.3941,136364.21,50929.64,0.4039
24,BE,0.5466,96.0626,296334.60,15044.11,0.0014
24,BK,0.0020,99.9887,433334.00,190.80,0.0000
26,VO,14.0784,24.0655,139936.39,1355.84,0.2176
26,VI,14.8242,19.4730,137874.70,50284.30,0.4103
26,BE,0.4508,96.9185,279340.30,31137.12,0.0020
26,BK,0.0012,99.9926,379902.70,169.60,0.0000
28,VO,13.9691,23.9663,140443.04,1458.47,0.2488
28,VI,14.8054,18.6585,133661.43,49470.93,0.4113
28,BE,0.4228,97.2629,250725.00,53843.65,0.0138
28,BK,0.0023,99.9853,436089.80,190.80,0.0000
30,VO,14.3062,22.0057,134760.02,1439.65,0.2274
30,VI,14.9619,17.7366,134692.14,46923.47,0.3904
30,BE,0.4260,97.0875,266822.50,35162.52,0.0042
30,BK,0.0015,99.9913,375724.30,169.60,0.0000
32,VO,14.2511,25.6628,158129.00,1276.66,0.1837
32,VI,14.9798,21.9609,151772.40,56731.84,0.4183
32,BE,0.4188,97.2620,233668.30,35742.35,0.0095
32,BK,0.0012,99.9939,322377.80,148.40,0.0000
34,VO,13.6484,22.4482,119533.48,1526.04,0.2809
34,VI,14.9308,14.6455,122753.61,47119.43,0.4101
34,BE,0.2979,97.9919,186412.63,107899.71,0.0083
34,BK,0.0020,99.9874,307833.70,148.40,0.0000
36,VO,13.7025,24.2124,129965.60,1483.69,0.2635
36,VI,14.6900,18.1274,132476.64,48607.35,0.4101
36,BE,0.5543,95.8023,260502.50,32788.59,0.0062
36,BK,0.0017,99.9892,337629.10,148.40,0.0000
38,VO,13.4816,27.5688,142734.76,1430.84,0.2769
38,VI,14.4510,21.5423,138573.26,47267.60,0.4123
38,BE,0.4355,96.8952,228077.60,65545.95,0.0058
38,BK,0.0016,99.9897,293196.40,127.20,0.0000
40,VO,13.5262,22.5990,118360.27,1599.78,0.3321
40,VI,14.5733,15.5218,120998.43,44331.41,0.4269
40,BE,0.3617,97.2199,149764.29,141905.51,0.0211
40,BK,0.0026,99.9826,347756.80,148.40,0.0000
